Customer_ID,Date,Year,Month,State,City,Festival,Gender,Age_Group,Metal,Product_Type,Weight_g,Purity,Payment_Method,Store_Type,Quantity,Price_INR,Discount_%,Total_Amount_INR
66,2021-03-04,2021,3,Tamil Nadu,Coimbatore,None,Male,46-60,Gold,Bar,10,24K,Debit Card,Jewelry Shop,1,70170,7,65258.1
67,2026-12-26,2026,12,Karnataka,Mangalore,Wedding Season,Female,46-60,Silver,Bar,5,18K,UPI,Online,1,88817,3,86152.49
68,2022-02-08,2022,2,Uttar Pradesh,Agra,None,Male,46-60,Silver,Jewelry,20,24K,UPI,Jewelry Shop,3,73009,0,219027.0
69,2023-09-28,2023,9,Rajasthan,Jaipur,Holi,Female,60+,Silver,Bar,10,24K,Cash,Online,2,74938,5,142382.2
70,2026-03-04,2026,3,Tamil Nadu,Coimbatore,None,Female,46-60,Gold,Coin,5,22K,Credit Card,Mall Store,3,70209,2,206414.46
71,2025-10-04,2025,10,Tamil Nadu,Chennai,None,Female,46-60,Gold,Coin,10,22K,Debit Card,Online,2,68924,7,128198.64
72,2025-06-10,2025,6,Gujarat,Surat,Akshaya Tritiya,Male,60+,Silver,Bar,5,18K,Debit Card,Jewelry Shop,2,81014,3,157167.16
73,2023-10-24,2023,10,Rajasthan,Jaipur,None,Male,18-25,Silver,Bar,5,22K,Debit Card,Online,3,74262,2,218330.28
74,2022-12-21,2022,12,Tamil Nadu,Coimbatore,Dhanteras,Male,60+,Gold,Coin,20,24K,Credit Card,Jewelry Shop,2,58356,3,113210.64
75,2023-07-14,2023,7,Rajasthan,Udaipur,None,Female,60+,Silver,Coin,5,22K,UPI,Jewelry Shop,2,66926,0,133852.0
76,2025-04-10,2025,4,Tamil Nadu,Chennai,None,Female,18-25,Silver,Bar,10,22K,UPI,Mall Store,3,78865,3,229497.15
77,2024-05-22,2024,5,Tamil Nadu,Coimbatore,None,Female,18-25,Gold,Jewelry,5,24K,Credit Card,Jewelry Shop,3,59814,5,170469.9
78,2025-02-28,2025,2,Maharashtra,Pune,None,Female,60+,Gold,Bar,10,22K,UPI,Jewelry Shop,1,73330,5,69663.5
79,2025-12-22,2025,12,Tamil Nadu,Coimbatore,Wedding Season,Male,36-45,Silver,Jewelry,20,18K,Credit Card,Online,3,64851,3,188716.41
80,2023-05-19,2023,5,Delhi,New Delhi,None,Male,18-25,Gold,Coin,10,24K,Cash,Online,2,61431,0,122862.0
81,2021-01-12,2021,1,Rajasthan,Jaipur,Akshaya Tritiya,Male,26-35,Gold,Bar,20,24K,UPI,Mall Store,2,64516,2,126451.36
82,2024-08-19,2024,8,Rajasthan,Jaipur,Diwali,Male,36-45,Gold,Jewelry,10,18K,Debit Card,Mall Store,2,57309,2,112325.64
83,2022-03-23,2022,3,Maharashtra,Pune,Wedding Season,Male,60+,Silver,Jewelry,20,22K,UPI,Online,2,81552,7,151686.72
84,2025-12-22,2025,12,Delhi,New Delhi,Diwali,Male,36-45,Silver,Bar,10,24K,Cash,Jewelry Shop,1,90317,5,85801.15
85,2026-09-02,2026,9,Tamil Nadu,Coimbatore,Holi,Female,18-25,Silver,Bar,5,18K,Cash,Jewelry Shop,3,85291,3,248196.81
86,2022-01-25,2022,1,Delhi,New Delhi,Akshaya Tritiya,Female,36-45,Silver,Bar,20,22K,Cash,Mall Store,2,76513,5,145374.7
87,2025-03-07,2025,3,Delhi,New Delhi,Dhanteras,Male,60+,Gold,Bar,20,18K,UPI,Jewelry Shop,1,55588,5,52808.6
88,2024-07-03,2024,7,Karnataka,Mangalore,Akshaya Tritiya,Male,60+,Silver,Bar,10,24K,Debit Card,Online,1,90545,3,87828.65
89,2023-07-16,2023,7,Rajasthan,Jaipur,Wedding Season,Male,60+,Silver,Bar,20,24K,Cash,Jewelry Shop,2,82509,0,165018.0
90,2025-06-30,2025,6,Uttar Pradesh,Kanpur,Diwali,Male,18-25,Silver,Jewelry,10,22K,Debit Card,Jewelry Shop,1,74675,2,73181.5
91,2021-12-14,2021,12,Karnataka,Bangalore,Diwali,Male,26-35,Silver,Bar,5,18K,UPI,Jewelry Shop,3,76860,3,223662.6
92,2023-06-02,2023,6,Delhi,New Delhi,Holi,Male,36-45,Silver,Coin,5,22K,Debit Card,Mall Store,2,84129,5,159845.1
93,2021-02-01,2021,2,Uttar Pradesh,Kanpur,Dhanteras,Female,26-35,Gold,Jewelry,20,22K,Credit Card,Online,2,59673,7,110991.78
94,2023-08-01,2023,8,Maharashtra,Nashik,Holi,Female,18-25,Silver,Coin,5,22K,UPI,Jewelry Shop,1,72119,5,68513.05
95,2022-04-17,2022,4,Maharashtra,Nagpur,Wedding Season,Male,36-45,Silver,Jewelry,50,18K,Credit Card,Online,2,83160,5,158004.0
96,2021-11-19,2021,11,Delhi,New Delhi,Wedding Season,Female,36-45,Gold,Jewelry,20,24K,UPI,Mall Store,3,70568,5,201118.8
97,2022-02-26,2022,2,Uttar Pradesh,Lucknow,Dhanteras,Female,26-35,Gold,Jewelry,10,18K,UPI,Online,2,65383,2,128150.68
98,2024-08-16,2024,8,Rajasthan,Udaipur,None,Female,26-35,Silver,Coin,5,22K,Debit Card,Mall Store,3,90398,7,252210.42
99,2026-03-07,2026,3,Karnataka,Mysore,Wedding Season,Male,18-25,Gold,Coin,20,24K,UPI,Mall Store,3,66074,0,198222.0
100,2023-02-11,2023,2,Tamil Nadu,Coimbatore,Akshaya Tritiya,Female,60+,Silver,Jewelry,5,22K,UPI,Jewelry Shop,3,84700,0,254100.0
101,2026-11-17,2026,11,Uttar Pradesh,Lucknow,Holi,Male,36-45,Gold,Coin,20,22K,Debit Card,Jewelry Shop,1,56881,5,54036.95
102,2025-05-03,2025,5,Uttar Pradesh,Agra,Akshaya Tritiya,Female,60+,Gold,Jewelry,20,24K,Cash,Jewelry Shop,1,63739,3,61826.83
103,2025-03-23,2025,3,Karnataka,Mangalore,None,Female,26-35,Silver,Bar,5,18K,Debit Card,Mall Store,3,68761,0,206283.0
104,2026-06-15,2026,6,Karnataka,Bangalore,Dhanteras,Male,26-35,Silver,Jewelry,5,22K,UPI,Mall Store,1,74919,2,73420.62
105,2022-09-24,2022,9,Rajasthan,Jaipur,Dhanteras,Male,60+,Silver,Jewelry,50,24K,Debit Card,Jewelry Shop,1,85337,7,79363.41
106,2023-08-17,2023,8,Uttar Pradesh,Agra,Holi,Male,36-45,Gold,Coin,10,22K,Debit Card,Jewelry Shop,3,70232,3,204375.12
107,2023-03-29,2023,3,Rajasthan,Udaipur,Holi,Male,36-45,Silver,Jewelry,50,22K,UPI,Mall Store,3,79806,5,227447.1
108,2026-10-04,2026,10,Rajasthan,Jaipur,Dhanteras,Female,18-25,Silver,Jewelry,50,22K,UPI,Jewelry Shop,1,68428,3,66375.16
109,2023-07-09,2023,7,Maharashtra,Nashik,Diwali,Female,18-25,Silver,Bar,20,24K,Cash,Online,2,72796,0,145592.0
110,2021-11-21,2021,11,Karnataka,Mysore,Diwali,Female,26-35,Gold,Jewelry,50,24K,Credit Card,Online,2,67414,7,125390.04
111,2021-09-15,2021,9,Karnataka,Bangalore,Diwali,Female,60+,Gold,Bar,5,18K,Cash,Mall Store,2,63557,7,118216.02
112,2025-09-03,2025,9,Gujarat,Surat,Dhanteras,Male,60+,Silver,Coin,5,18K,UPI,Jewelry Shop,3,64021,3,186301.11
113,2025-01-02,2025,1,Rajasthan,Udaipur,Diwali,Female,26-35,Gold,Bar,5,18K,Credit Card,Online,2,64810,3,125731.4
114,2026-05-15,2026,5,Maharashtra,Nagpur,None,Male,26-35,Silver,Jewelry,50,24K,Credit Card,Online,1,88759,5,84321.05
115,2026-04-24,2026,4,Maharashtra,Mumbai,Akshaya Tritiya,Male,26-35,Gold,Coin,20,24K,Credit Card,Jewelry Shop,2,65603,7,122021.58
116,2024-10-20,2024,10,Maharashtra,Nagpur,Dhanteras,Female,46-60,Silver,Coin,20,24K,Debit Card,Online,3,78274,5,223080.9
117,2024-04-25,2024,4,Delhi,New Delhi,Akshaya Tritiya,Female,60+,Silver,Bar,50,24K,Debit Card,Jewelry Shop,1,75211,0,75211.0
118,2021-08-23,2021,8,Delhi,New Delhi,Diwali,Female,36-45,Silver,Bar,10,24K,Cash,Mall Store,2,87385,3,169526.9
119,2025-02-09,2025,2,Uttar Pradesh,Kanpur,Akshaya Tritiya,Female,60+,Gold,Jewelry,10,18K,Debit Card,Jewelry Shop,1,61421,2,60192.58
120,2025-06-19,2025,6,Karnataka,Mysore,Akshaya Tritiya,Female,26-35,Gold,Jewelry,5,18K,Cash,Jewelry Shop,1,73812,7,68645.16
121,2024-03-15,2024,3,Tamil Nadu,Coimbatore,None,Female,26-35,Gold,Jewelry,10,24K,Debit Card,Online,2,62334,5,118434.6
122,2021-09-23,2021,9,Uttar Pradesh,Kanpur,Holi,Female,36-45,Gold,Jewelry,10,22K,Cash,Online,3,68284,3,198706.44
123,2025-02-20,2025,2,Gujarat,Ahmedabad,Wedding Season,Male,60+,Gold,Jewelry,5,22K,Debit Card,Mall Store,1,72726,3,70544.22
124,2024-07-22,2024,7,Uttar Pradesh,Kanpur,None,Male,46-60,Silver,Coin,20,24K,Cash,Online,3,76442,0,229326.0
125,2022-10-26,2022,10,Delhi,New Delhi,Akshaya Tritiya,Male,36-45,Gold,Bar,20,24K,Credit Card,Online,1,70325,3,68215.25
126,2026-12-26,2026,12,Uttar Pradesh,Agra,Diwali,Male,60+,Silver,Bar,10,24K,Credit Card,Mall Store,3,71134,3,206999.94
127,2023-05-14,2023,5,Maharashtra,Pune,Holi,Female,60+,Gold,Bar,5,22K,Credit Card,Mall Store,3,55657,7,155283.03
128,2021-09-03,2021,9,Karnataka,Mysore,Dhanteras,Female,46-60,Gold,Coin,50,24K,Credit Card,Mall Store,2,65903,5,125215.7
129,2025-02-26,2025,2,Gujarat,Surat,Holi,Male,36-45,Silver,Jewelry,50,24K,Credit Card,Jewelry Shop,2,87129,5,165545.1
130,2025-09-09,2025,9,Gujarat,Ahmedabad,Dhanteras,Male,36-45,Gold,Bar,20,24K,Cash,Jewelry Shop,2,58699,5,111528.1
131,2025-05-30,2025,5,Tamil Nadu,Coimbatore,Holi,Female,26-35,Silver,Jewelry,20,24K,UPI,Jewelry Shop,2,72847,0,145694.0
132,2022-07-03,2022,7,Delhi,New Delhi,Akshaya Tritiya,Female,46-60,Silver,Coin,5,22K,UPI,Mall Store,1,83116,0,83116.0
133,2026-08-28,2026,8,Tamil Nadu,Chennai,Wedding Season,Female,60+,Silver,Bar,5,24K,UPI,Jewelry Shop,2,83292,0,166584.0
134,2026-09-17,2026,9,Karnataka,Mysore,Wedding Season,Male,18-25,Silver,Jewelry,10,18K,Credit Card,Jewelry Shop,1,91673,2,89839.54
135,2024-07-28,2024,7,Tamil Nadu,Coimbatore,Dhanteras,Female,60+,Gold,Bar,20,18K,Credit Card,Mall Store,3,74551,2,219179.94
136,2022-03-25,2022,3,Rajasthan,Udaipur,Wedding Season,Female,18-25,Silver,Bar,50,22K,Cash,Mall Store,1,80274,3,77865.78
137,2022-08-29,2022,8,Maharashtra,Nashik,None,Male,18-25,Gold,Bar,5,24K,UPI,Jewelry Shop,3,72292,7,201694.68
138,2026-08-18,2026,8,Karnataka,Mysore,Holi,Female,18-25,Gold,Bar,10,18K,Cash,Mall Store,3,68892,2,202542.48
139,2026-02-26,2026,2,Karnataka,Mangalore,Holi,Female,60+,Silver,Coin,20,18K,Debit Card,Online,2,80636,3,156433.84
140,2023-04-30,2023,4,Gujarat,Surat,None,Female,36-45,Silver,Coin,20,18K,Credit Card,Jewelry Shop,2,75142,3,145775.48
141,2024-03-24,2024,3,Maharashtra,Nashik,None,Male,36-45,Silver,Coin,20,18K,Debit Card,Online,1,73653,3,71443.41
142,2022-03-24,2022,3,Gujarat,Vadodara,Holi,Male,26-35,Silver,Jewelry,10,18K,Cash,Online,3,81540,3,237281.4
143,2022-07-18,2022,7,Maharashtra,Nashik,Diwali,Male,46-60,Silver,Bar,50,22K,Cash,Jewelry Shop,2,91086,0,182172.0
144,2021-06-02,2021,6,Karnataka,Mysore,Dhanteras,Female,26-35,Gold,Jewelry,50,22K,Cash,Mall Store,3,56833,7,158564.07
145,2022-03-16,2022,3,Rajasthan,Udaipur,Akshaya Tritiya,Female,46-60,Gold,Bar,50,24K,Debit Card,Jewelry Shop,2,57240,7,106466.4
146,2023-11-20,2023,11,Gujarat,Ahmedabad,None,Male,18-25,Silver,Bar,20,22K,Cash,Online,3,72634,5,207006.9
147,2022-01-26,2022,1,Tamil Nadu,Coimbatore,Dhanteras,Male,46-60,Silver,Coin,10,24K,Credit Card,Jewelry Shop,2,82167,0,164334.0
148,2021-02-16,2021,2,Gujarat,Surat,Akshaya Tritiya,Female,26-35,Silver,Jewelry,5,22K,Credit Card,Online,2,78722,7,146422.92
149,2023-06-17,2023,6,Delhi,New Delhi,Dhanteras,Female,26-35,Gold,Coin,20,22K,Debit Card,Mall Store,2,63476,7,118065.36
150,2026-12-04,2026,12,Rajasthan,Jaipur,None,Female,18-25,Gold,Bar,5,24K,Cash,Mall Store,1,75182,7,69919.26
151,2023-04-22,2023,4,Tamil Nadu,Chennai,None,Female,18-25,Gold,Bar,50,24K,Debit Card,Online,3,63703,5,181553.55
152,2024-06-16,2024,6,Tamil Nadu,Coimbatore,None,Male,46-60,Silver,Coin,5,18K,Cash,Mall Store,1,84265,7,78366.45
153,2021-09-04,2021,9,Maharashtra,Pune,Diwali,Female,18-25,Silver,Coin,50,24K,Cash,Mall Store,3,77722,0,233166.0
154,2025-03-19,2025,3,Uttar Pradesh,Agra,Diwali,Male,36-45,Silver,Jewelry,10,18K,Debit Card,Mall Store,2,77362,5,146987.8
155,2025-10-04,2025,10,Gujarat,Vadodara,Holi,Female,26-35,Gold,Jewelry,50,22K,Cash,Jewelry Shop,1,55905,3,54227.85
156,2021-03-06,2021,3,Gujarat,Vadodara,Dhanteras,Male,18-25,Gold,Jewelry,5,22K,UPI,Online,3,58092,5,165562.2
157,2021-08-20,2021,8,Uttar Pradesh,Lucknow,Dhanteras,Female,26-35,Silver,Bar,20,18K,Credit Card,Online,1,78162,7,72690.66
158,2022-12-19,2022,12,Karnataka,Bangalore,None,Female,60+,Gold,Coin,5,22K,Debit Card,Mall Store,2,66050,3,128137.0
159,2023-01-24,2023,1,Karnataka,Mangalore,Holi,Female,26-35,Silver,Jewelry,20,18K,Cash,Jewelry Shop,1,78460,3,76106.2
160,2023-09-22,2023,9,Maharashtra,Nashik,Akshaya Tritiya,Male,36-45,Silver,Bar,5,22K,Credit Card,Online,3,83442,2,245319.48
161,2021-06-11,2021,6,Tamil Nadu,Chennai,Diwali,Male,60+,Gold,Bar,10,22K,Cash,Jewelry Shop,2,65735,7,122267.1
162,2023-09-21,2023,9,Karnataka,Bangalore,None,Male,46-60,Gold,Jewelry,20,22K,Debit Card,Jewelry Shop,3,62149,0,186447.0
163,2026-03-24,2026,3,Tamil Nadu,Coimbatore,Diwali,Female,36-45,Silver,Jewelry,20,22K,Debit Card,Online,2,74643,7,138835.98
164,2025-09-07,2025,9,Tamil Nadu,Chennai,Akshaya Tritiya,Male,26-35,Gold,Coin,10,22K,Cash,Jewelry Shop,2,57315,7,106605.9
165,2022-11-21,2022,11,Tamil Nadu,Coimbatore,None,Female,26-35,Silver,Jewelry,50,24K,UPI,Mall Store,3,81786,5,233090.1
166,2023-08-06,2023,8,Maharashtra,Pune,Diwali,Male,18-25,Gold,Jewelry,50,22K,UPI,Mall Store,2,57375,2,112455.0
167,2026-12-20,2026,12,Uttar Pradesh,Agra,Holi,Female,18-25,Silver,Jewelry,20,18K,Credit Card,Online,2,83657,0,167314.0
168,2023-09-15,2023,9,Tamil Nadu,Coimbatore,Dhanteras,Female,36-45,Gold,Coin,50,24K,Credit Card,Jewelry Shop,1,56725,7,52754.25
169,2021-05-10,2021,5,Delhi,New Delhi,Diwali,Female,46-60,Gold,Coin,50,24K,UPI,Mall Store,3,67184,0,201552.0
170,2022-01-26,2022,1,Gujarat,Ahmedabad,Holi,Male,26-35,Silver,Jewelry,50,22K,UPI,Online,3,80853,3,235282.23
171,2022-08-14,2022,8,Uttar Pradesh,Kanpur,None,Female,18-25,Gold,Coin,10,18K,Cash,Mall Store,2,59574,0,119148.0
172,2021-11-18,2021,11,Rajasthan,Udaipur,Holi,Female,18-25,Silver,Jewelry,50,24K,UPI,Jewelry Shop,3,80223,2,235855.62
173,2026-07-03,2026,7,Tamil Nadu,Coimbatore,Dhanteras,Female,60+,Silver,Coin,50,24K,Debit Card,Online,3,66660,3,193980.6
174,2025-04-06,2025,4,Rajasthan,Udaipur,None,Male,46-60,Gold,Coin,20,24K,UPI,Online,1,55671,3,54000.87
175,2021-12-24,2021,12,Karnataka,Mysore,Dhanteras,Female,46-60,Silver,Bar,50,24K,UPI,Online,2,88032,0,176064.0
176,2021-02-20,2021,2,Karnataka,Mangalore,Akshaya Tritiya,Female,46-60,Gold,Jewelry,10,18K,Cash,Mall Store,3,74715,3,217420.65
177,2022-08-21,2022,8,Delhi,New Delhi,Diwali,Male,46-60,Gold,Coin,50,22K,Debit Card,Online,2,64850,3,125809.0
178,2026-02-19,2026,2,Karnataka,Mysore,Diwali,Male,36-45,Gold,Jewelry,50,22K,Debit Card,Jewelry Shop,3,69847,7,194873.13
179,2024-08-06,2024,8,Delhi,New Delhi,Holi,Male,46-60,Silver,Coin,10,22K,Credit Card,Jewelry Shop,3,85794,2,252234.36
180,2024-02-23,2024,2,Uttar Pradesh,Agra,Wedding Season,Female,18-25,Silver,Bar,10,18K,Cash,Mall Store,1,83950,3,81431.5
181,2021-10-11,2021,10,Rajasthan,Jaipur,Wedding Season,Female,26-35,Silver,Bar,20,24K,Credit Card,Mall Store,1,87597,5,83217.15
